Stoves,Mean_Peak,Std_Dev,5th_Percentile,95th_Percentile,Risk_Exceeding_Threshold,Risk_Smoothed
500,655642.7266125263,13368.454792407449,629536.9764225159,672405.5108844783,0.0,0.0
505,668926.1719509872,16230.6857965833,643874.5020855665,692790.7950718248,0.0,0.0
510,670798.1091023721,15511.740788000325,647224.5901368349,693381.0867316164,0.0,0.0
515,672754.9652569719,14778.296612245944,650702.029793491,694516.4712666769,0.0,0.0
520,669255.1154981549,18939.665010045075,648379.1443956036,704163.9432220291,0.0,0.0
525,676927.4505964144,13281.29164734411,657573.5102390926,696982.4407506052,0.0,0.0
530,679143.9613216072,12526.253373597816,660970.4829429293,698319.920084789,0.0,0.0
535,681447.0646745901,11773.946764437202,664485.0093286568,699731.4185322819,0.0,0.0
540,685896.8789639001,18738.859878499123,656444.3372579536,710691.6080051083,0.0,0.0
545,686308.9626535082,10304.69584722032,671422.0276613601,702788.2092678556,0.0,0.0
550,688864.2432997525,9604.121282357153,674564.0092859642,704438.6230854199,0.0,0.0
555,691499.0709041446,8939.127228860449,677810.814382141,706173.1968310607,0.0,0.0
560,691867.8966604705,12424.921817140621,671756.8605105669,711328.7960612519,0.0,0.0
565,696993.8232617569,7760.984058630563,684601.453063,710364.0889950611,0.0,0.0
570,699845.602823444,7271.83766728297,688134.3427254903,712874.4770961925,0.0,0.0
575,702760.7279156757,6864.597010560973,691750.2799330689,714867.0505744198,0.0,0.0
580,700575.1178617469,14104.278010695094,677144.843156488,721075.5198185319,0.0,0.0
585,708759.7715417495,6327.212827724821,699201.086313351,719301.5931972207,0.0,0.0
590,711832.2902374199,6201.024985390017,703019.4795938574,721555.0264678576,0.0,0.0
595,714945.5158042185,6162.76611667723,706888.2216107389,724375.3547907001,0.0,0.0
600,718020.2056829848,15872.09387448943,696237.4825842583,747452.3476074683,0.0,0.0
605,721269.6393742149,6298.756070672177,712500.602692226,731199.4878052406,0.0,0.0
610,724468.3753418602,6441.21323256958,715358.9115538253,734609.6961919008,0.0,4.440892098500626e-15
615,727683.6643228957,6612.009190532637,718451.0689721797,738315.1720856804,0.0,4.440892098500626e-15
620,730074.7168283608,14848.302838946687,707797.1738304421,755330.2482406205,2.220446049250313e-14,4.440892098500626e-15
625,734141.6639215292,6985.049902921732,724763.5556265281,746260.1651912873,0.0,4.440892098500626e-15
630,737374.133291681,7166.483618644754,727926.0432944538,749879.8814489465,0.0,5.693889804092578e-11
635,740602.8171091318,7334.535772134831,731010.8953188087,753183.8962814044,0.0,5.693445714882728e-11
640,747185.7761835041,15001.080411758596,719053.564664263,770490.0659415763,2.846722857441364e-10,5.693445714882728e-11
645,747033.6911848063,7612.352891159534,736813.9485973859,759589.4071958445,0.0,5.693445714882728e-11
650,750229.8131728619,7716.929190593642,739813.4135033374,762811.5487362447,0.0,6.214937175341717e-05
655,753410.0896605072,7797.207075209171,742872.7235068616,766062.1321302712,0.0,6.214931481896002e-05
660,755404.7767203248,21043.690324661893,724916.2986562594,794173.4978375162,0.0003107465740948001,6.214931481896002e-05
665,759718.2503339262,7886.150402582147,748593.8160847855,773053.2729196309,0.0,6.214931481896002e-05
670,762845.3985426275,7897.123255773485,751334.1144402158,776376.5456078937,0.0,0.00021854773649021553
675,765955.1910567867,7888.107250778888,753875.3295315179,779582.4366495959,0.0,0.0001563984216712555
680,770030.8246963221,18629.373278299838,742377.541650797,798147.5534779285,0.0007819921083562775,0.0001563984216712555
685,772128.1062502476,7818.869765446571,759389.8696038509,785642.3130821718,0.0,0.0001563984216712555
690,775195.2335164458,7763.289157934687,762879.7168264862,788499.3852148033,0.0,0.0016291007301005855
695,778252.875368019,7696.766411021345,766492.9289739109,791245.0410869145,0.0,0.00147270230842933
700,778851.9497528701,18876.468306069073,757379.7381718175,812165.807092173,0.00736351154214665,0.00147270230842933
705,784351.8671221252,7539.134404998883,772996.1758725855,797489.8483913632,0.0,0.001472702308433771
710,787399.8027894376,7451.82047140286,776201.9597783147,800554.8282438751,0.0,0.024723747786450367
715,790451.2276503335,7361.442254329483,779517.7074237352,803483.925980503,2.220446049250313e-14,0.023251045478622778
720,793959.1291410164,18567.091327585636,764162.2854506737,824461.090829588,0.11625522739008298,0.023251045486714084
725,796577.7177477286,7182.11486621622,786514.8303540263,808911.0729694709,3.0087043967341742e-12,0.02325104560035207
730,799658.7750283068,7101.1099622360225,789508.1074270585,811403.0774946935,4.0456527017340704e-11,0.1263820739643795
735,802755.045819924,7033.650074222792,792581.9652285445,814731.595000532,5.681899395426626e-10,0.10313105481210671
740,803270.2644984043,18412.071128875745,779832.7369505268,825744.3520970183,0.5156551418201594,0.10313147102914089
745,808999.7895875371,6971.300243431002,799447.1827510959,822340.2967490391,1.3162871903560358e-07,0.10313771497606705
750,812149.7034079909,6993.343180436397,802444.48927472,826108.5090760501,2.081088179561874e-06,1.3600897077579144
755,815317.554108839,7059.7655721347965,804793.8845981604,829677.6482810039,3.121977508735441e-05,1.2578113361985355
760,822784.6382551446,18099.23391167271,794595.1732016192,847492.7958748117,6.284759964477427,1.2645117090302826
765,821700.5854939308,7329.780715741484,810626.8539540777,835900.2935525733,0.004263284023264813,1.303005982352934
770,824910.4579459846,7522.898412157421,813742.2470546255,838957.5962933314,0.03350199578745494,4.017720087654977
775,828127.7944143661,7740.602779463118,816943.1513078152,842099.775826241,0.1924734477014356,3.2796568939727693
780,831593.068735837,17193.137578129707,806170.7345414557,857615.5662539544,13.573601746285302,4.581666268392149
785,834566.8318418784,8195.844406964108,823594.4219506672,849486.1480240973,2.5944439960663868,7.2555510884584224
790,837778.2624277672,8408.429742220864,826958.7882955662,852961.9523375782,6.514310156120162,14.18966442299477
795,840976.7478509631,8598.526667213415,830112.9136131769,856279.03267206,13.402926096118827,18.673491060485503
800,844476.522785611,15483.691634368835,812920.6325815028,868567.9965413908,34.86304012038318,28.094323101412378
805,847310.1417199639,8893.996010132314,836007.0749177567,861887.8387497589,35.992734933738966,39.39308073564429
810,850432.0136520781,8998.92126151961,838399.6402232024,865097.6555270529,49.69860420070077,47.30188705593493
815,853515.0154877331,9079.516664593597,840647.3270011491,868176.8201485719,63.00809832727968,57.074399129570985
820,852010.9724604584,20436.06004260092,820166.6827029991,884325.4005266477,52.94695769757203,67.923422932591
