500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900
657502.7166858345,671705.8268645004,683157.8996270329,684781.7791941514,700957.4910543575,729609.6763439581,702871.352811153,750962.1308862127,796205.6884452284,746856.3776245295,765891.6299885833,815566.9679162322,818188.3351990237,820873.3123318494,866498.9800064089,842856.7924311967,871964.7734489631,872988.9371143576,899555.8222295434,858960.3651736182,916532.3670412777
669318.8894411807,685175.6832502278,701893.5598149484,687079.0892142344,716151.109827089,731092.3722585747,731474.7531546693,751236.381507264,757498.9989486324,759682.4863134292,773471.7407181631,801538.3802401847,799310.8399558192,823305.4444821312,842262.2069025898,859314.1708543291,865088.8524596391,836305.7308315928,875959.7813860736,901274.2940424334,904937.0563096683
630923.0264428722,654404.2517118372,685469.531127078,709202.6111319894,696853.8483521807,698054.1079352275,707851.6626005201,731895.4733749883,770577.0869380853,787386.4830240454,811741.8151613012,777309.3697344271,805934.67426306,840921.8254378254,832520.5655398922,844408.4512048974,837073.1450693044,878931.3473070688,854412.3023718323,879770.3916165999,896786.336381926
673744.8946992235,668467.3317276409,684412.6246873988,678494.6608424617,709781.3597821705,724201.9173171092,720339.4786229051,760566.9087145148,792141.3072298041,776969.043407731,776005.7361870453,831593.2886164803,806403.0161207773,806461.7417200564,819704.061403409,812160.7078345534,836469.3259185782,891466.7083415526,876698.7433095843,904454.2147700902,905122.6023712966
662216.8141502141,666909.6487822698,701498.3680871489,683519.5909179663,713701.9356277848,716708.8039890977,732719.7725908054,716335.286677817,754101.242072158,750560.0186658717,781993.8279700459,795518.8402073361,817540.338277475,829578.006602353,835874.5429034363,872699.7119447322,843887.392845229,861750.3447844476,874337.0115955924,932930.5503463518,900747.3286295842
665465.0268449262,683401.4162855354,715241.1275910181,704878.5948909438,674595.4450348082,700880.3729444632,736230.7181112458,717449.4300700718,766892.1114959021,788965.0469414047,815768.7392634472,783899.572424045,805184.4286439432,832037.1662728307,852676.7335340144,839804.8578148662,868189.7714015673,870441.3322029732,863614.0737554303,903806.440168372,914248.1871411495
678938.1332992738,667833.4093120111,676348.1103265851,702677.0620666265,691740.5654853152,748564.1101543928,718422.0442314453,757526.2668491111,770904.4122854791,794997.8336165515,812589.7990230448,784258.4005353684,804462.4065275798,836336.4249972022,850238.645353157,847666.6011268832,888185.7352394485,866236.0492069231,893356.9402627371,855059.0873797538,903437.9293025238
669695.0791285122,710827.0404529504,669366.6431887954,695349.2358664825,718589.9576535302,728266.3355812195,715620.9771019456,754414.4566695067,757255.1512099922,795265.9359452542,796602.395803616,817328.8930426956,827851.7878450017,817659.9245107991,810083.142228487,848381.6024879662,848305.0420712142,864361.3405199995,875150.7112237873,878007.878308271,913597.2948617924
628150.9264021595,723885.434361628,683631.0288271473,678034.9140908469,683255.9909468882,722545.6714506879,749955.3247244025,755572.9908613535,763487.1184339517,777591.992153532,758354.2772780105,808146.824348357,806722.8713269571,805443.715440597,825009.8932873477,847407.0002831267,889426.8239897115,836195.132027818,865098.9906391349,866226.1525534206,911247.8631624427
654843.4321499016,666889.05397294,691790.4048581262,688185.3333166117,720052.498448869,735803.6233395693,738919.4829480752,736340.4324375279,778749.5469517948,779210.4551098621,782765.6752986012,806268.3618484455,792939.544205107,792750.0436535518,850426.51128031,848665.2292990617,805559.0766619202,900938.5815652929,866272.3801716757,894138.7026830609,897064.3565649288
637443.4753896141,661887.3178080624,743713.9035760545,686711.8890362739,717089.83090724,730315.9848075338,735909.9514631556,759744.5631056179,722157.3567968729,759501.3531715593,764284.1587429724,759671.3200952543,810747.1477090378,833895.2450939692,829439.7466825971,843792.0671153306,875948.5901148666,882701.6315928684,914053.7834752642,873031.991695943,906826.416649221
650219.9769615218,670003.8491528307,689710.7777717161,724634.3679165366,704235.5608534758,728549.7684617816,760705.1717568384,764583.03367396,745039.0973199989,782546.5592635921,780381.4856941294,813255.14297213,812825.4462180883,798529.7259847488,834831.8018758331,836914.9625925745,837269.6560731594,883183.2270101676,888219.0365617531,894603.9835848066,970109.1558054393
668391.4635353864,665746.4324414833,695801.7355453735,696369.3852674741,670767.5957023836,704129.4681572076,727215.0764996506,746321.0206438688,727675.2405156461,780543.7287208037,774984.9807666857,783973.1140139928,772555.8561924188,832387.0712684437,827429.3582165111,838593.5859377452,880465.0658138468,865558.898788027,874056.2537916984,863784.2414019811,904125.6305576221
643776.2313982896,647239.7860599983,684936.3478144311,680304.0214155874,684825.3980307968,720120.2095080656,728438.2803588469,720657.6992584544,785441.105664804,759436.2529500908,799628.1137199207,814762.9206584543,814567.1592794599,803000.6558057625,802258.3268544244,842668.4680199435,835400.9099107587,864861.0206013032,901715.786598403,886174.2591143892,920674.9957764928
670059.919163221,664866.6045078608,668081.0654707731,691365.5364220307,707868.1904604597,726740.0974156329,720899.1563850781,765120.2287617333,742992.2265955366,769212.9514983841,779218.6439991724,790072.2044007273,780425.6108565328,836318.1679224166,821544.2085712685,851124.1117737782,825177.1845422947,893458.2907749785,884949.30007954,877601.355913427,876839.6221773379
649662.2531640236,671770.8496914438,678186.0626403671,693493.0609922538,693494.4780081643,700510.4281226343,732798.0796925732,736814.7570390897,763073.1739430691,773615.6458527247,760324.5674349023,783726.8624308764,795706.7005497228,827897.5671169764,834486.6282398484,841554.991602488,840510.899025557,852582.8036068969,868784.3721377266,894365.3308979184,918168.2674705194
646487.4677547059,622848.6557263398,681873.9396205454,690515.6918397148,702311.9729049455,711270.6762024742,732173.3221785254,773302.4102619663,740395.4141092997,776395.1082672097,762038.6576572213,801721.3983101711,793774.5916753832,861371.7804290287,816098.4129007583,844497.0882466002,815156.1808637034,881834.5056978194,880272.1848875115,862029.2533419852,918313.446694191
655240.0828339187,679539.0704355027,673396.6979537058,699401.4237663001,723802.6550783054,747287.8966610983,734295.0663604584,742040.7606582673,728434.1952532337,753240.2628395495,776169.2462163848,774494.6777558242,796369.0367981875,818935.7667728316,836141.0286430246,846012.3214814096,873765.2478720244,890036.35372097,887818.3696607583,903804.4767101882,891093.7643247804
671066.1270697332,671062.7397734409,677295.0085422352,687616.9466183104,684413.4666496916,747616.7985538382,728767.9417760345,745628.4736005499,757896.5169123112,741934.5039458855,780176.4898115008,801282.7503534209,785138.0816496839,796440.3027496865,841621.1153149314,835569.2710269814,873458.0106658655,868314.5465323416,860058.1917369578,920356.8202517369,891066.0652607977
658718.9634326919,658232.5673754071,699243.2216925339,713454.9809905144,698194.3056301333,709711.5184775151,728500.9656496305,727080.1011178328,716095.2262351244,783005.1669325741,756405.1990656244,777897.8887279911,860822.9748988042,834451.7403451566,824032.0171154904,847586.5914182211,842485.8588064936,847645.9520416774,910792.3167449194,885120.7535928976,883224.2199629812
667557.7108183706,682515.3053929508,706142.0884191986,690321.8212371607,722098.5411881949,694420.8572332893,726097.1712897969,743308.4435934267,733622.8440079115,780127.9088812451,762337.2810522043,801886.5545183058,796732.265706326,847658.0278771452,819376.1184409328,864436.2811380493,844002.8371297251,883882.8346006336,855510.9247821039,876537.5247389813,920458.3744799942
646805.3607763337,649518.5027312089,678162.0475446752,688378.0380390474,686232.3822131976,725952.4332215524,715794.7422435117,753912.3866342428,753179.191231596,813057.5186193782,784804.6339528773,804838.1809883259,783125.7946745214,803427.5275872609,843058.1777847832,818889.3957272358,864253.150299523,879076.1502629387,869580.8321631917,904818.0745308129,901115.7319043579
625513.8177100687,655798.955194659,703937.0337432851,706687.6387744618,711608.6097834293,701633.6501732479,738748.9344791187,741780.4403025312,799309.6031626188,756655.7336141805,808019.0401167074,799669.483717349,779239.8630445208,847327.5638724782,810850.3398361754,813149.83128279,830664.0507090339,874068.8119031594,845651.9689047512,893718.9527752165,913586.4715765618
647753.2977728213,655825.0411063089,680994.1813759863,700515.4414617495,707874.2037267835,724860.8615607006,738183.1814781738,744048.5373526044,731397.0632584883,748248.1261841377,771588.1546588691,781274.6888847959,781434.942489575,818430.610097428,848757.1448208597,846860.3503618693,861513.1332502975,854386.327263166,893484.1044948691,892044.3462901067,903492.8734265091
